trial=282/1000 pct=28.20% elapsed_s=1062.8 eta_s=2706.1 best=0.7272973775863647
trial=283/1000 pct=28.30% elapsed_s=1068.2 eta_s=2706.3 best=0.7272973775863647
trial=284/1000 pct=28.40% elapsed_s=1072.0 eta_s=2702.7 best=0.7272973775863647
trial=285/1000 pct=28.50% elapsed_s=1079.6 eta_s=2708.4 best=0.7272973775863647
trial=286/1000 pct=28.60% elapsed_s=1082.5 eta_s=2702.5 best=0.7272973775863647
trial=287/1000 pct=28.70% elapsed_s=1082.8 eta_s=2690.1 best=0.7272973775863647
trial=288/1000 pct=28.80% elapsed_s=1086.8 eta_s=2686.9 best=0.7272973775863647
trial=289/1000 pct=28.90% elapsed_s=1092.3 eta_s=2687.3 best=0.7272973775863647
trial=290/1000 pct=29.00% elapsed_s=1098.0 eta_s=2688.1 best=0.7272973775863647
trial=291/1000 pct=29.10% elapsed_s=1101.6 eta_s=2683.9 best=0.7272973775863647
trial=292/1000 pct=29.20% elapsed_s=1102.2 eta_s=2672.5 best=0.7272973775863647
trial=293/1000 pct=29.30% elapsed_s=1108.1 eta_s=2673.8 best=0.7272973775863647
trial=294/1000 pct=29.40% elapsed_s=1111.7 eta_s=2669.5 best=0.7272973775863647
trial=295/1000 pct=29.50% elapsed_s=1113.8 eta_s=2661.7 best=0.7272973775863647
trial=296/1000 pct=29.60% elapsed_s=1116.4 eta_s=2655.3 best=0.7272973775863647
trial=297/1000 pct=29.70% elapsed_s=1120.4 eta_s=2652.0 best=0.7272973775863647
trial=298/1000 pct=29.80% elapsed_s=1124.4 eta_s=2648.6 best=0.7272973775863647
trial=299/1000 pct=29.90% elapsed_s=1127.9 eta_s=2644.2 best=0.7272973775863647
