A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
161,Dy,66,15030.91,1.3894,14071.5789,0.9935,343.4857,0.9912,-2854.1956,8.7469,-7402.4053,1.1031,-9744.3869,15.0002,95,1.4393939393939394,16,13,0,,6454.3869,29,15.03091
292,Lv,116,13037.0,942.0,5176.0,1035.0,10791.1897,12.1669,,,-656.0,1035.0,-11592.0,968.0,176,1.5172413793103448,-10,50,0,,7182.0,60,13.037
129,I,53,15666.5955,4.7975,16386.8244,5.9768,-2676.9981,4.026,-1008.1261,5.5385,-11166.2955,19.0415,-6717.9599,3.1534,76,1.4339622641509433,3,-6,0,,8840.464,23,15.6665955
289,Mc,115,13208.0,894.0,5350.0,1050.0,10489.9999,50.0,,,-576.0,1045.0,,,174,1.5130434782608695,-11,48,0,,7054.0,59,13.208
76,Co,27,8262.0,640.0,,,-16915.0,781.0,25322.0,500.0,,,10509.0,539.0,49,1.8148148148148149,-1,-1,0,,3171.0,22,8.262
242,Es,99,15567.0,447.0,5441.0,297.0,8160.1152,20.3367,,,1532.0,305.0,-12490.0,395.0,143,1.4444444444444444,17,17,0,,7163.0,44,15.567
76,Ge,32,15933.0833,0.0211,22034.12,2.5151,-7492.3194,2.1425,2039.0612,0.0075,-17942.9531,1.9562,-8250.0132,0.8839,44,1.375,4,-6,0,,9427.2434,12,15.9330833
54,K,19,4155.0,401.0,42088.0,806.0,-15275.0,565.0,29288.0,400.0,,,16166.0,402.0,35,1.8421052631578947,-1,7,0,,926.0,16,4.155
75,Co,27,8734.0,500.0,38438.0,721.0,-16366.0,640.0,23910.0,400.0,,,10069.0,447.0,48,1.7777777777777777,-1,-2,0,,5091.0,21,8.734
143,Pm,61,18580.3683,14.2792,11524.0727,3.0037,-556.9276,4.6781,-8719.3531,11.3733,-6463.2682,3.0034,-12050.0525,2.9563,82,1.3442622950819672,11,0,1,,9890.4463,21,18.5803683
