A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(n)_MeV
190,Os,76,13713.1601,0.4706,14617.887,3.0389,1375.8612,1.1729,-1401.3215,0.433,-10188.0,200.0,-8329.491,12.5618,114,1.5,-6,-12,0,,7792.3416,38,7.792341599999999
168,Os,76,20706.1048,20.5117,2685.4659,13.6803,5815.6444,2.6987,-18984.917,150.2608,4809.2463,21.1633,-20993.8646,20.8452,92,1.2105263157894737,-6,10,0,,11567.4525,16,11.5674525
111,Ru,44,12189.5063,12.6574,24703.9829,14.7889,-6665.2664,13.3718,9200.5609,9.7098,-19538.482,26.0829,-2027.9507,20.225,67,1.5227272727272727,-6,-15,0,,4784.0145,23,4.7840145000000005
7,Be,4,37512.0,2003.0,10040.1785,20.0001,-1587.1371,0.0708,,,-9112.0686,0.0884,-39622.0,2003.0,3,0.75,2,1,0,,10677.3542,-1,10.6773542
287,Nh,113,12456.0,1049.0,6853.0,927.0,9650.0,200.0,-6293.0,834.0,-2344.0,842.0,-8222.0,895.0,174,1.5398230088495575,-13,48,0,,6573.0,61,6.573
61,Ni,28,19207.8321,0.0689,18135.0136,0.3298,-6464.9281,0.2616,-7873.1229,15.9001,-10097.8258,3.4058,-13948.0848,1.5742,33,1.1785714285714286,0,5,1,,7820.1037,5,7.8201037
70,Fe,26,9136.0,356.0,35778.0,583.0,-14175.0,424.0,22324.0,300.0,-34549.0,583.0,5424.0,312.0,44,1.6923076923076923,-2,-6,0,,5762.0,18,5.762
239,Cm,96,14242.8253,167.4979,8522.6422,150.073,6539.6999,148.6607,-7055.0,192.0,-2305.1571,150.0675,-11141.0,297.0,143,1.4895833333333333,14,17,0,,6369.5591,47,6.3695591
235,Cm,96,15422.0,131.0,6616.0,116.0,7280.0,100.0,,,375.0,103.0,-13453.0,184.0,139,1.4479166666666667,14,13,0,,6780.0,43,6.78
243,Es,99,15289.0,310.0,5812.0,265.0,8072.1077,10.1677,,,-294.0,247.0,-11724.0,451.0,144,1.4545454545454546,17,18,0,,8126.0,45,8.126
127,I,53,16289.829,3.5638,15306.065,4.1469,-2185.2421,3.5651,-2743.1898,6.2505,-9879.0523,32.0195,-7908.1479,3.6209,74,1.3962264150943395,3,-8,0,,9144.0384,21,9.1440384
92,Se,34,7066.0,518.0,32832.0,640.0,-9629.0,565.0,22046.0,400.0,,,6312.0,400.0,58,1.7058823529411764,6,8,0,,4215.0,24,4.215
223,Bi,83,8103.0,500.0,,,,,8812.0,400.0,,,1682.0,402.0,140,1.6867469879518073,1,14,0,,4781.0,57,4.781
176,W,74,16557.151,39.5199,9374.9674,28.036,3335.7073,37.1167,-8510.424,30.0134,-3448.8164,28.0379,-13424.6147,39.5199,102,1.3783783783783783,-8,20,0,,9080.1262,28,9.0801262
80,Sr,38,23280.1541,8.2177,10711.1263,3.4775,-3722.6774,5.3014,-15552.0,300.0,-3158.1488,4.9104,-20579.8504,80.1833,42,1.105263157894737,10,-8,0,,12903.1213,4,12.9031213
35,Mg,12,5465.723,269.6807,45069.0,658.0,-17966.7238,378.9202,30031.2661,272.0411,-44491.0,579.0,10566.0866,269.6758,23,1.9166666666666667,4,3,0,,754.8562,11,0.7548562
161,Pm,61,9674.8738,13.5063,23895.0,400.0,-4076.699,9.5745,11705.0123,13.7764,-21176.0,400.0,2075.2655,9.2448,100,1.639344262295082,11,18,0,,5263.2683,39,5.2632683
144,Dy,66,22593.0,729.0,4188.5112,28.8506,2787.2709,28.8506,-19962.0,196.0,4372.2487,200.4299,-22594.0,298.0,78,1.1818181818181819,16,-4,0,,12472.4601,12,12.472460100000001
187,Ir,77,15356.4551,39.5199,10308.2713,27.9568,3835.3702,29.0769,-6520.5963,35.8764,-4911.0274,27.9569,-9756.2474,35.4087,110,1.4285714285714286,-5,-16,0,,8448.3443,33,8.4483443
282,Ds,110,11673.0,805.0,8207.0,671.0,9145.0,424.0,-4036.0,625.0,,,-8614.0,830.0,172,1.5636363636363637,-16,46,0,,6554.0,62,6.554
173,Dy,66,9873.0,447.0,22108.0,640.0,-2275.0,565.0,9914.0,445.0,-18059.0,500.0,-328.0,445.0,107,1.621212121212121,16,-19,0,,4052.0,41,4.052
161,Hf,72,19605.8474,28.8547,5060.2423,29.2934,4679.1789,25.0152,-15809.0,202.0,4558.4385,24.0857,-18563.4357,59.1618,89,1.2361111111111112,-10,7,0,,8448.3882,17,8.4483882
138,Pr,59,17931.0819,15.2125,11669.321,54.1055,-335.1237,22.3033,-8214.4966,15.3256,-3276.9724,10.1406,-11616.2156,15.418,79,1.3389830508474576,9,-3,0,,7998.371,20,7.998371
212,Pb,82,8963.1366,2.0978,16827.0,200.0,3291.5622,30.7943,2820.4789,1.9089,-14448.0,200.0,-3761.1315,5.5972,130,1.5853658536585367,0,4,1,,5127.2356,48,5.1272356
98,Kr,36,7181.0,301.0,,,-9742.0,583.0,22302.0,300.0,,,6328.0,300.0,62,1.7222222222222223,8,12,0,,4768.0,26,4.768
55,Co,27,27513.2564,1.7188,13917.5886,0.506,-8211.6868,0.4861,-22394.5935,155.56,-5760.7207,1.0804,-22823.0025,4.675,28,1.037037037037037,-1,0,1,,14091.2467,1,14.0912467
91,Tc,43,24734.4369,4.4909,9938.8448,23.7474,-4537.0803,7.2008,-17417.0,298.0,-614.0977,4.0726,-19174.1743,4.4157,48,1.1162790697674418,-7,-2,0,,13333.2792,5,13.333279200000002
286,Cn,112,12108.0,1035.0,7588.0,860.0,9235.0,761.0,-5156.0,889.0,,,-9390.0,1044.0,174,1.5535714285714286,-14,48,0,,6708.0,62,6.708
206,Ac,89,,,1700.4969,69.5747,7958.2999,64.8074,,,7505.5989,65.5562,,,117,1.3146067415730338,7,-9,0,,8693.2531,28,8.6932531
68,As,33,23012.0798,5.9744,9748.7409,2.1448,-2486.6167,2.3341,-20103.0,259.0,695.6575,2.1888,-20385.5514,67.093,35,1.0606060606060606,5,7,0,,10378.6133,2,10.378613300000001
250,Cf,98,12210.2512,5.1274,10800.3539,2.6846,6128.5082,0.1925,-2901.8569,7.9242,-6869.3309,2.6962,-8076.0,30.0,152,1.5510204081632653,16,26,0,,6623.7149,54,6.6237148999999995
109,In,49,19065.495,10.4378,12660.7683,4.629,-1843.5933,6.0331,-10238.5393,6.5938,-6171.7053,4.6321,-12490.895,6.6821,60,1.2244897959183674,-1,10,0,,10441.0156,11,10.4410156
105,In,49,21150.8212,13.6249,9415.8219,11.0357,-731.1138,11.3313,-15625.091,24.112,-1813.0832,11.0804,-16084.843,11.7471,56,1.1428571428571428,-1,6,0,,11529.2255,7,11.5292255
122,Ru,44,8203.0,640.0,,,-11835.0,707.0,22836.0,501.0,,,6399.0,796.0,78,1.7727272727272727,-6,-4,0,,5231.0,34,5.231
240,Es,99,,,4569.0,447.0,8258.7789,62.6509,,,2687.0,420.0,,,141,1.4242424242424243,17,15,0,,7476.0,42,7.476
128,Pr,59,22150.0,198.0,5935.23,95.2897,1502.9377,64.0301,-18111.0,301.0,4276.3818,39.5539,-18492.0,301.0,69,1.1694915254237288,9,-13,0,,9859.0,10,9.859
273,Rg,111,,,2793.0,518.0,11160.0,250.0,,,2114.0,629.0,,,162,1.4594594594594594,-15,36,0,,7960.0,51,7.96
114,Cs,55,24414.0,143.0,2200.5317,85.6825,3356.9999,58.3095,,,9144.6173,85.444,-23048.0,312.0,59,1.0727272727272728,5,9,0,,10992.7075,4,10.9927075
263,Db,105,13341.0,201.0,7025.0,261.0,8834.0,152.0,-7386.0,349.0,-2284.0,261.0,-9330.0,170.0,158,1.5047619047619047,-21,32,0,,7214.0,53,7.214
216,At,85,10506.8065,5.1668,11120.4842,11.6855,7949.705,3.0567,-714.3439,5.316,-6661.5649,6.587,-4645.65,6.9215,131,1.5411764705882354,3,5,0,,4558.0565,46,4.558056499999999
133,Sb,51,13084.7376,3.7583,25477.086,3.8271,-8513.5402,3.6972,6933.7887,6.6795,-23800.9306,60.1139,-1806.6341,4.6837,82,1.607843137254902,1,0,1,,7359.5496,31,7.3595496
28,Al,13,20783.2162,0.0821,24567.8812,3.502,-10857.7346,0.0513,-9702.8631,1.1483,-18621.9,3.726,-12537.5323,0.097,15,1.1538461538461537,5,-5,0,,7725.174,2,7.725174
139,Xe,54,9403.8082,2.145,20918.7661,3.0004,-340.7117,2.7489,9269.3315,2.1573,-17237.5625,4.3508,-828.8761,9.4057,85,1.5740740740740742,4,3,0,,3743.66,31,3.7436599999999998
91,Rh,45,29062.0,468.0,5753.0,298.0,-3304.0,298.0,,,4866.0,298.0,-26931.0,499.0,46,1.0222222222222221,-5,-4,0,,15007.0,1,15.007
218,Pb,82,8023.0,361.0,19869.0,500.0,1434.0,500.0,7273.0,300.0,,,-1172.0,300.0,136,1.6585365853658536,0,10,1,,4702.0,54,4.702
273,Ds,110,13810.0,172.0,3984.0,310.0,11366.8999,53.9638,,,1992.0,529.0,-12559.0,273.0,163,1.481818181818182,-16,37,0,,5869.0,53,5.869
86,Se,34,10698.0808,3.1855,26932.6822,4.0442,-7513.016,3.365,12762.5007,2.5198,-24668.7196,4.4954,0.9851,3.9717,52,1.5294117647058822,6,2,0,,6160.8484,18,6.1608484
151,Yb,70,24355.0,425.0,2378.6732,301.7889,2640.5464,302.9096,,,8999.9999,300.0,-24842.0,425.0,81,1.1571428571428573,-12,-1,0,,10783.0,11,10.783
225,Pu,94,15963.0,424.0,4323.0,306.0,9355.0,308.0,,,3269.0,300.0,-15031.0,500.0,131,1.3936170212765957,12,5,0,,7051.0,37,7.051
149,Er,68,23276.4428,47.3232,4123.5159,29.3125,2076.0708,28.6955,-20412.0,301.0,6828.8048,29.2749,-23047.9049,29.7641,81,1.1911764705882353,-14,-1,0,,10333.9419,13,10.3339419
168,Lu,71,17194.4808,48.2751,9764.2957,39.6916,2411.1956,45.4676,-8678.9184,47.1476,-1818.6861,37.9942,-11676.3881,47.1476,97,1.3661971830985915,-11,15,0,,7617.8683,26,7.6178683000000005
21,N,7,6766.9758,135.0479,49116.2773,542.1944,-20909.3222,244.1867,25279.5206,134.06,-51458.6243,562.5609,13364.4256,134.0508,14,2.0,-1,6,0,,4605.9005,7,4.6059005
257,Md,101,11992.2331,5.6556,9674.7071,10.8637,7557.0699,0.9487,-3673.0,44.0,-5481.0,100.0,-6901.8919,7.5683,156,1.5445544554455446,19,30,0,,6535.0,55,6.535
192,At,85,,,1056.2949,34.8822,7695.6261,25.5329,,,8876.1219,28.8611,,,107,1.2588235294117647,3,-19,0,,9009.4896,22,9.0094896
37,K,19,29769.9441,0.5209,10364.6118,0.1004,-6221.777,0.4019,-28580.0,300.0,-2567.1643,0.1006,-26420.3532,40.0001,18,0.9473684210526315,-1,-2,0,,15454.3377,-1,15.4543377
21,Mg,12,37077.1795,60.0058,5426.145,0.7713,-8021.5172,0.8335,,,10656.8117,0.7545,,,9,0.75,4,1,0,,14645.1614,-3,14.645161400000001
123,Ce,58,23739.0,499.0,4119.0,330.0,1879.0,359.0,,,7034.0,299.0,-23578.0,582.0,65,1.1206896551724137,8,15,0,,10484.0,7,10.484
123,Ba,56,21052.7524,142.4136,7751.9087,15.8604,714.6091,15.9484,-15369.0,298.0,2411.0539,16.4345,-19183.0,298.0,67,1.1964285714285714,6,-15,0,,9117.3296,11,9.1173296
135,Eu,63,23054.0,357.0,3318.0,202.0,3198.0,280.0,-21095.0,445.0,5327.0,200.0,-20689.0,445.0,72,1.1428571428571428,13,-10,0,,12419.0,9,12.419
64,Zn,30,20978.5655,0.7833,13835.5202,0.6449,-3955.6904,0.6596,-11688.5149,3.7812,-7780.0974,0.6447,-17528.2362,1.4543,34,1.1333333333333333,2,6,0,,11861.9068,4,11.8619068
67,As,33,25792.812,84.7671,8507.6878,0.9065,-2465.0484,1.3772,-24058.0,300.0,-152.4746,1.1786,-22998.0,200.0,34,1.0303030303030303,5,6,0,,12633.4666,1,12.6334666
138,Sm,62,20829.5095,17.1999,6876.4172,16.7124,1723.7543,16.7124,-15838.0,201.0,797.2256,16.6469,-19423.1869,12.6024,76,1.2258064516129032,12,-6,0,,11577.4352,14,11.5774352
162,Hf,72,19372.3147,13.0646,5583.141,10.5042,4416.2789,4.8624,-15169.2091,19.6504,1376.8513,17.4315,-18461.1686,25.9578,90,1.25,-10,8,0,,10923.9265,18,10.9239265
168,Yb,70,16128.7962,7.0,11233.6641,0.322,1937.7907,0.7073,-6219.3091,27.945,-5579.582,0.2715,-12124.9034,37.2599,98,1.4,-12,16,0,,9061.2843,28,9.061284299999999
50,K,19,9586.0068,7.77,36026.0,500.0,-14417.8198,97.5556,18809.2677,8.1303,-33756.0,400.0,7500.8319,7.7334,31,1.631578947368421,-1,3,0,,4187.675,12,4.1876750000000005
105,Rh,45,15962.2007,3.3874,17825.2919,9.906,-3931.5933,24.1321,-780.4217,5.1764,-12641.2722,24.9858,-6527.4652,2.4481,60,1.3333333333333333,-5,10,0,,8963.2442,15,8.963244199999998
171,Ir,77,20461.2502,44.9762,2580.7251,40.1112,5997.0,12.0,-18849.7268,43.6886,5202.9951,40.1278,-18184.1459,42.5744,94,1.2207792207792207,-5,12,0,,11301.0,17,11.301
217,Ra,88,12785.0951,9.9456,7519.4164,9.1724,9160.5687,6.1884,-6316.2443,12.7351,-1652.7477,8.9619,-10331.5186,11.6095,129,1.4659090909090908,6,3,0,,5473.2485,41,5.4732484999999995
137,Gd,64,23106.0,499.0,2934.0,336.0,3593.0,422.0,,,8308.0,298.0,-23385.0,582.0,73,1.140625,14,-9,0,,10195.0,9,10.195
160,Nd,60,9032.0277,46.593,24763.0,402.0,-4330.0,304.0,13508.6575,46.6158,-22673.0,502.0,1758.5182,47.6443,100,1.6666666666666667,10,18,0,,5071.8259,40,5.071825899999999
235,Pa,91,11343.1458,14.0361,13597.0788,19.1127,4101.1318,19.1127,1245.8565,14.0412,-9841.2649,19.76,-3927.3768,14.018,144,1.5824175824175823,9,18,0,,6121.2873,53,6.1212873
260,Fm,100,10803.0,479.0,,,6300.0,300.0,156.0,478.0,,,-5870.0,446.0,160,1.6,18,34,0,,6010.0,60,6.01
240,Pu,94,12180.4651,0.3567,11760.355,1.167,5255.8215,0.1448,-1598.9029,1.7335,-7736.3198,1.1796,-7336.3588,1.6706,146,1.553191489361702,12,20,0,,6534.2186,52,6.5342186
54,Sc,21,10057.0092,14.3072,31878.2471,36.3285,-11134.9967,15.9694,15460.3337,17.8944,-29431.1824,112.6493,4372.1815,14.2683,33,1.5714285714285714,1,5,0,,3739.697,12,3.739697
174,W,74,17272.5385,39.5199,8402.8041,37.1167,3601.851,39.5199,-10231.7102,29.7667,-2104.2749,39.5199,-14744.5418,39.5199,100,1.3513513513513513,-8,18,0,,9571.0236,26,9.5710236
116,Sn,50,17108.8797,0.098,16088.987,0.2899,-3376.0374,0.2664,-6262.1863,24.206,-10730.4702,0.6573,-12593.8847,16.0256,66,1.32,0,16,1,,9563.4512,16,9.5634512
224,Ac,89,12530.2858,6.0711,10721.8975,8.4999,6326.8999,0.7,-3628.2033,8.5055,-5437.1527,4.3698,-7222.5723,8.8233,135,1.5168539325842696,7,9,0,,5662.2252,46,5.6622252
159,Tm,69,18003.7613,39.5199,8315.4838,36.4925,3044.4789,32.9561,-10861.795,46.8981,-1671.9787,38.9311,-12632.1016,29.06,90,1.3043478260869565,-13,8,0,,9938.522,21,9.938522
86,Rb,37,19130.6642,2.2031,19541.8504,25.7308,-7673.2418,0.9918,-3463.9028,14.1436,-11460.4952,3.0843,-9715.0309,2.8203,49,1.3243243243243243,9,-1,0,,8650.98,12,8.650979999999999
273,Bh,107,11318.0,759.0,,,9110.0,200.0,-4099.0,780.0,,,-6393.0,830.0,166,1.5514018691588785,-19,40,0,,6176.0,59,6.176
67,Cu,29,16198.5124,1.0687,22712.2903,2.2657,-7892.9165,18.5925,-440.3975,1.328,-18199.9835,14.0009,-6491.6429,0.845,38,1.3103448275862069,1,10,0,,9132.5825,9,9.1325825
180,Pt,78,18575.0258,14.2533,5463.5742,16.9229,5276.3933,5.0409,-14179.362,16.1403,1301.2911,18.4714,-17512.6216,15.4211,102,1.3076923076923077,-4,20,0,,10233.066,24,10.233066
249,Cm,96,10925.0457,3.9779,13037.0,200.0,5147.6071,13.4211,1027.963,2.5624,,,-5451.6748,50.0032,153,1.59375,14,27,0,,4713.37,57,4.71337
144,Xe,54,7785.289,5.9572,24901.0,500.0,-2929.768,15.3266,14894.8284,8.8948,-23631.0,500.0,2731.8992,9.2491,90,1.6666666666666667,4,8,0,,4740.7372,36,4.7407372
38,Cl,17,16418.744,0.105,24125.0133,13.1139,-7674.3302,0.8163,-997.3562,0.2185,-18091.0746,37.9479,-6921.7552,0.2166,21,1.2352941176470589,-3,1,0,,6107.8823,4,6.1078823
135,In,49,5563.0,361.0,32608.0,583.0,-8785.0,583.0,22580.0,300.0,,,11252.0,300.0,86,1.7551020408163265,-1,4,0,,3212.0,37,3.212
123,Sb,51,15766.3699,2.1314,17966.2397,27.4169,-3949.148,7.3794,-1280.3026,3.4455,-12940.5008,50.0588,-6980.9267,0.1034,72,1.411764705882353,1,-10,0,,8960.004,21,8.960004000000001
168,Tm,69,15568.5367,11.6698,12819.9818,1.8154,1243.2228,2.1473,-4239.5471,38.0104,-6321.8911,5.5221,-8793.7963,4.1817,99,1.434782608695652,-13,17,0,,6840.5801,30,6.8405801
154,Lu,71,22387.0,280.0,2524.0,208.0,4399.0,280.0,,,7017.0,201.0,-20438.0,361.0,83,1.1690140845070423,-11,1,0,,9363.0,12,9.363
190,Hf,72,10113.0,500.0,,,,,9569.0,401.0,,,-912.0,447.0,118,1.6388888888888888,-10,-8,0,,5721.0,46,5.721
145,Te,52,5622.0,583.0,,,,,21483.0,300.0,,,7249.0,500.0,93,1.7884615384615385,2,11,0,,1861.0,41,1.861
68,Se,34,28672.0,200.0,7160.3502,2.4514,-2298.8618,3.7588,-28563.0,500.0,1195.2981,4.3475,-29731.0,300.0,34,1.0,6,6,0,,15680.4728,0,15.6804728
290,Nh,113,11797.0,842.0,,,9380.0,100.0,-4476.0,755.0,,,-7222.0,693.0,177,1.5663716814159292,-13,51,0,,5306.0,64,5.306
180,Yb,70,11186.0,300.0,19038.0,667.0,-514.0,500.0,5059.0,300.0,-15930.0,583.0,-3732.0,300.0,110,1.5714285714285714,-12,-16,0,,6152.0,40,6.152
196,W,74,10473.0,500.0,,,,,9537.0,402.0,,,-1251.0,500.0,122,1.6486486486486487,-8,-4,0,,6071.0,48,6.071
257,Rf,104,14606.0,181.0,5523.4873,17.7291,9082.7769,8.3205,,,754.3717,13.1279,-12503.0,188.0,153,1.4711538461538463,22,27,0,,6426.9219,49,6.4269219
154,Pm,61,13154.7699,36.0149,19086.4744,31.1394,-2391.0091,26.5954,3471.7645,25.0492,-13987.0837,27.6989,-3777.8611,25.042,93,1.5245901639344261,11,11,0,,5689.917,32,5.689917
227,At,85,9012.0,424.0,,,2765.0,500.0,7748.0,300.0,,,612.0,300.0,142,1.6705882352941177,3,16,0,,5301.0,57,5.301
57,Ti,22,8712.0158,207.8944,30329.4155,260.8749,-7439.0568,210.4826,18123.1363,205.8876,-28180.4289,323.584,3710.2341,270.7795,35,1.5909090909090908,2,7,0,,3050.171,13,3.0501709999999997
147,Pr,59,11960.7388,17.3479,17186.7097,20.0467,302.4585,17.4601,3597.8909,15.8625,-13511.8904,15.943,-2589.4949,15.8572,88,1.4915254237288136,9,6,0,,6841.9248,29,6.8419248
141,Sb,51,5633.0,640.0,,,-6135.0,640.0,20387.0,500.0,,,8756.0,500.0,90,1.7647058823529411,1,8,0,,3221.0,39,3.221
221,Pa,91,14350.9226,91.5677,5772.5585,78.5803,9247.6999,58.3095,-9535.0,209.0,-657.7893,59.6867,-10710.0,117.0,130,1.4285714285714286,9,4,0,,7974.7783,39,7.9747783
27,O,8,-1198.0,527.0,,,-21926.0,1115.0,37619.0,508.0,,,17924.0,512.0,19,2.375,0,-1,1,,-1937.0,11,-1.937
129,Sn,50,13263.6551,19.5797,26427.3399,18.3493,-9667.4226,17.5097,6414.2874,17.2846,-20641.3228,18.4289,-4032.0632,25.5191,79,1.58,0,-3,1,,5300.4851,29,5.3004850999999995
155,Hf,72,23152.0,424.0,1728.0,361.0,4808.0,425.0,,,8333.0,300.0,,,83,1.1527777777777777,-10,1,0,,9651.0,11,9.651
119,Rh,45,10068.6798,12.8795,29261.0,400.0,-9451.0,196.0,15822.9567,17.405,-26822.0,400.0,4494.2377,9.643,74,1.6444444444444444,-5,-8,0,,6007.2806,29,6.0072806
184,Tl,81,19698.778,15.6096,3157.3214,21.2676,6317.3754,9.2648,-18138.0,122.0,6019.1615,13.7489,-17374.6652,30.6595,103,1.271604938271605,-1,21,0,,8367.4118,22,8.3674118
277,Bh,107,10823.0,848.0,,,,,-1908.0,894.0,,,-5157.0,937.0,170,1.588785046728972,-19,44,0,,5921.0,63,5.921
229,Ac,89,11302.2148,12.2617,13570.4511,13.4696,4444.4184,17.0248,793.088,12.5458,-9983.2561,13.8547,-4152.2814,12.2433,140,1.5730337078651686,7,14,0,,6276.0358,51,6.2760358
213,Po,84,10363.6625,2.9045,10738.4489,3.6863,8536.139,2.5581,-957.5699,4.2683,-6393.5603,3.399,-6096.688,3.3996,129,1.5357142857142858,2,3,0,,4355.4284,45,4.3554284
70,Co,27,11025.0089,11.6493,32183.0,300.0,-12199.487,15.6768,16451.4172,11.0447,-28454.0,400.0,5382.3745,11.606,43,1.5925925925925926,-1,-7,0,,4210.8339,16,4.2108339
144,Pm,61,16417.2168,23.7662,12207.6917,2.9719,845.1947,6.712,-5796.9419,11.1125,-5636.8879,2.9777,-9970.2996,3.5292,83,1.360655737704918,11,1,0,,6526.7705,22,6.5267705
189,Os,76,13910.4227,0.4621,13660.7002,1.1702,1976.1535,0.8529,-2517.3964,10.0781,-7607.8924,3.0356,-8713.1642,9.4183,113,1.486842105263158,-6,-13,0,,5920.8185,37,5.9208185
31,Mg,12,8652.428,3.0932,36099.897,149.5364,-12597.9777,90.8223,19826.8855,3.0742,-33691.2428,253.2691,4670.6466,3.6325,19,1.5833333333333333,4,-1,0,,2312.0974,7,2.3120974000000003
105,Sr,38,7053.0,539.0,,,-12035.0,707.0,23268.0,500.0,,,7818.0,539.0,67,1.763157894736842,10,-15,0,,2502.0,29,2.502
66,Co,27,12758.7355,24.4017,27997.4429,14.4138,-10309.4923,15.4283,9849.748,13.9875,-22730.168,14.4607,645.9373,13.9808,39,1.4444444444444444,-1,11,0,,5294.6538,12,5.2946538
168,Sm,62,7333.0,500.0,,,,,16510.0,424.0,,,4059.0,500.0,106,1.7096774193548387,12,-20,0,,4382.0,44,4.382
212,Po,84,10558.9848,0.1727,10218.9215,0.9254,8954.1948,0.114,-1710.1891,2.9207,-7165.3675,2.4269,-6793.5353,2.4899,128,1.5238095238095237,2,2,0,,6008.234,44,6.008234000000001
152,Gd,64,15085.8888,6.0227,12233.9101,0.6301,2203.8471,1.0238,-4589.3405,4.5465,-7419.7948,0.6239,-11155.081,4.0106,88,1.375,14,6,0,,8589.7014,24,8.5897014
232,Fr,87,9556.5703,15.4278,,,1768.0,400.0,6918.4113,19.1127,,,-214.9718,18.0139,145,1.6666666666666667,5,19,0,,4079.0586,58,4.0790586
32,Si,14,15787.3629,0.2989,29774.2588,1.3287,-11482.6595,0.3961,1937.848,0.2981,-28244.5084,3.0883,-7708.4628,0.2981,18,1.2857142857142858,6,-2,0,,9199.9699,4,9.1999699
223,Ra,88,11873.2681,4.9978,11816.0514,5.8928,5978.9916,0.2121,-2152.1569,8.1815,-6427.6831,2.4034,-7459.8704,5.0882,135,1.5340909090909092,6,9,0,,5158.2782,47,5.1582782
176,Yb,70,12689.4379,0.0155,16120.0,298.0,566.34,3.9619,1085.1052,1.4824,-12128.0,401.0,-6396.9621,1.207,106,1.5142857142857142,-12,-20,0,,6867.0841,36,6.8670841000000005
41,Al,13,3042.0,500.0,49965.0,843.0,-20969.0,795.0,39570.0,417.0,,,20852.0,418.0,28,2.1538461538461537,5,0,1,,2302.0,15,2.302
78,As,33,16668.2221,9.8192,21098.2637,9.973,-7192.2595,10.2273,635.1984,10.4131,-14113.5882,10.0747,-6288.7907,9.7793,45,1.3636363636363635,5,-5,0,,6971.9534,12,6.9719534
49,Ni,28,,,-1081.0,781.0,-8303.0,663.0,,,19249.0,607.0,,,21,0.75,0,1,1,,17720.0,-7,17.72
24,O,8,6925.2638,174.4236,49688.7407,284.203,-21428.0782,283.4984,24452.0468,164.8753,-52959.0,1010.0,7143.8229,168.2077,16,2.0,0,-4,1,,4192.2843,8,4.1922843
32,K,19,,,-2737.0,400.0,-8705.0,640.0,,,21735.0,400.0,,,13,0.6842105263157895,-1,5,0,,20342.0,-6,20.342
83,Se,34,15094.1602,3.1504,23626.7902,3.6658,-8238.2794,37.2843,4650.1002,3.036,-17214.4391,3.7731,-5913.1846,3.1874,49,1.4411764705882353,6,-1,0,,5817.9662,15,5.8179662
174,Ho,67,10529.0,358.0,20757.0,583.0,-1585.0,424.0,7995.0,303.0,-16649.0,583.0,-287.0,358.0,107,1.5970149253731343,-15,-19,0,,4590.0,40,4.59
123,Te,52,16770.5032,25.8005,14552.2937,1.3974,-1530.909,1.5142,-3922.72,9.5565,-6519.9959,2.4241,-11163.0139,5.0006,71,1.3653846153846154,2,-11,0,,6929.0139,19,6.9290139
140,Dy,66,24042.0,643.0,1748.0,448.0,3835.0,499.0,,,7512.0,446.0,,,74,1.121212121212121,16,-8,0,,13201.0,8,13.201
138,Pm,61,19887.0834,70.0405,8151.8913,16.3044,1188.7137,23.396,-13164.6944,30.2579,998.4727,14.1707,-14994.0327,30.8773,77,1.2622950819672132,11,-5,0,,8912.8298,16,8.912829799999999
275,Hs,108,11418.0,701.0,8006.0,715.0,9449.9999,53.8516,-5174.0,684.0,,,-8829.0,703.0,167,1.5462962962962963,-18,41,0,,4985.0,59,4.985
139,La,57,16224.1517,1.7486,15254.5507,0.6777,-2065.3402,0.7072,-2393.7286,3.599,-11624.3238,9.1785,-7727.8323,0.7857,82,1.4385964912280702,7,0,1,,8780.2909,25,8.7802909
272,Bh,107,11585.0,610.0,8188.0,783.0,9302.9999,53.8516,-4694.0,720.0,,,-6975.0,599.0,165,1.5420560747663552,-19,39,0,,5143.0,58,5.143
105,Ru,44,14810.0114,2.4926,19558.1536,9.5553,-4839.5072,2.4972,2483.3619,2.5931,-12879.7663,9.2363,-7046.517,3.365,61,1.3863636363636365,-6,11,0,,5910.0975,17,5.9100975
136,Nd,60,19695.4909,16.7124,8944.3412,23.5642,844.4745,23.5818,-12388.3983,17.1999,-1871.9608,15.654,-17208.2865,83.741,76,1.2666666666666666,10,-6,0,,11056.9958,16,11.056995800000001
183,Os,76,16256.4281,55.8475,10007.7572,49.7896,3206.571,51.8582,-7890.5632,51.7589,-2706.587,49.7741,-12683.3955,54.0049,107,1.4078947368421053,-6,-19,0,,7125.9689,31,7.1259689
142,Pr,59,15242.776,6.1154,14052.2497,1.5439,302.1253,1.5544,-2644.8311,23.6385,-8145.4944,4.0975,-7666.1652,2.81,83,1.4067796610169492,9,1,0,,5843.1515,24,5.8431515
84,Y,39,21972.978,6.9767,12284.5687,5.2476,-4143.8787,4.6856,-12700.5968,4.318,-2112.7709,4.8895,-16054.0978,7.7318,45,1.1538461538461537,11,-5,0,,9760.0853,6,9.7600853
132,Xe,54,15541.1363,0.0081,16503.957,0.01,-2710.0969,0.7064,-844.0714,1.0533,-11356.924,0.0608,-9294.7185,0.1771,78,1.4444444444444444,4,-4,0,,8936.7176,24,8.9367176
