1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,215,Pa,91,17992.293,100.3314,2914.4343,83.2712,8236.1363,62.5194,*,,4082.2944,83.5564,*,,124,1.362637363,9,-2,-2.571428571,,9726.6755,33
,215,U,92,*,,1808.7377,104.5432,8587.9999,58.6205,*,,6905.4093,104.6802,*,,123,1.336956522,10,-3,-4.285714286,,*,31
0,216,Hg,80,6993#,565#,*,,*,,13411#,447#,*,,2819#,500#,136,1.7,-2,10,-2.5,+,4261#,56
,216,Tl,81,7737#,358#,*,,*,,8996#,300#,*,,2457#,305#,135,1.666666667,-1,9,-1.125,,3231#,54
,216,Pb,82,8450#,200#,18839#,447#,2065#,361#,5727#,200#,-16889#,447#,-2191#,200#,134,1.634146341,0,8,0,+,4904#,52
,216,Bi,83,9067.8685,15.8299,15169#,196#,5000#,200#,3617.3097,11.7356,-11445#,300#,-1655.5596,11.3773,133,1.602409639,1,7,0.875,,3826.6022,50
,216,Po,84,9890.328,2.0869,12612.5876,1.9577,6906.3495,0.505,1529.0234,5.9616,-9848.8801,52.7167,-5032.3988,6.7496,132,1.571428571,2,6,1.5,+,5747.2116,48
,216,At,85,10506.8065,5.1668,11120.4842,11.6855,7949.705,3.0567,-714.3439,5.316,-6661.5649,6.587,-4645.65,6.9215,131,1.541176471,3,5,1.875,,4558.0565,46
,216,Rn,86,11569.6596,10.7265,9854.6574,5.7274,8197.8049,5.6519,-3038.1538,9.7402,-6493.888,6.102,-8136.1431,8.9789,130,1.511627907,4,4,2,+,6649.0156,44
,216,Fr,87,12213.2869,9.3494,8227.7686,5.437,9174.255,3.4256,-5178.7143,10.1264,-3061.3656,7.7221,-7632.2907,8.1377,129,1.482758621,5,3,1.875,,5418.4334,42
,216,Ra,88,12943.9103,9.5536,6966.8119,12.0827,9525.7696,7.3754,-7007.0707,13.6126,-2828.5149,9.9342,-10810.402,14.7595,128,1.454545455,6,2,1.5,+,7311.8466,40
,216,Ac,89,14426.1715,16.3878,5469.8787,12.5578,9240.8187,2.8621,-9674.0622,26.3182,542.6278,11.6211,-10843.0152,11.1943,127,1.426966292,7,1,0.875,,5952.1319,38
,216,Th,90,16539.0308,15.3508,4372.1456,12.27,8072.3838,4.2621,-12767.8923,30.173,477.5711,13.1529,-15577.3184,83.1944,126,1.4,8,0,0,+,8694.2146,36
,216,Pa,91,17778.7323,84.8661,3187.4153,28.1265,8099.2828,11.3392,*,,4504.2772,27.5929,-15136.8315,107.0131,125,1.373626374,9,-1,-1.125,,8052.0568,34
,216,U,92,*,,2206.4445,30.0218,8530.6272,26.2111,*,,4856.0247,28.7982,*,,124,1.347826087,10,-2,-2.5,+,9894.2007,32
0,217,Tl,81,7513#,500#,*,,*,,9930#,400#,*,,3079#,447#,136,1.679012346,-1,10,-1.111111111,,4282#,55
,217,Pb,82,8225#,305#,19427#,500#,1635#,424#,6377#,300#,-15949#,500#,-1685#,300#,135,1.646341463,0,9,0,,3321#,53
,217,Bi,83,9041.9454,18.5704,15878#,300#,4521.2357,32.2948,4335.3645,18.3914,-13429#,300#,-1123.6912,17.7912,134,1.614457831,1,8,0.888888889,,5215.3432,51
,217,Po,84,9717.4131,6.7103,13036.7346,53.0903,6662.1342,2.3529,2224.8863,7.7283,-8915#,200#,-4444.5437,7.3786,133,1.583333333,2,7,1.555555556,,3970.2015,49
,217,At,85,10491.4545,8.1606,11812.6159,7.3127,7201.3529,1.2191,79.9353,8.1539,-8768.3608,12.2457,-3930.0323,7.5731,132,1.552941176,3,6,2,,5933.398,47
,217,Rn,86,11315.08,7.2288,10377.6054,4.6142,7887.1691,2.8816,-2230.9696,8.051,-5412.7407,4.45,-7383.7739,5.621,131,1.523255814,4,5,2.222222222,,4666.0643,45
,217,Fr,87,12146.1107,9.4274,9006.6958,9.212,8469.2686,4.3198,-4387.6582,12.9458,-5230.9863,7.3137,-7048.1214,10.2112,130,1.494252874,5,4,2.222222222,,6727.6772,43
,217,Ra,88,12785.0951,9.9456,7519.4164,9.1724,9160.5687,6.1884,-6316.2443,12.7351,-1652.7477,8.9619,-10331.5186,11.6095,129,1.465909091,6,3,2,,5473.2485,41
,217,Ac,89,13470.8652,16.7275,6193.7585,13.2238,9831.6047,10.1882,-8352.427,16.7942,-1557.672,11.9316,-9667.5339,15.761,128,1.438202247,7,2,1.555555556,,7518.7333,39
,217,Th,90,14858.2895,12.3605,4904.1568,12.8212,9435.3069,4.0315,-10765#,81#,1625.3428,13.2892,-13689.3365,26.835,127,1.411111111,8,1,0.888888889,,6164.0749,37
,217,Pa,91,16892.4252,83.3921,3553.7442,17.5818,8488.8028,4.4886,*,,1616.0407,15.5232,-14082.9992,30.7428,126,1.384615385,9,0,0,,8840.3684,35
,217,U,92,18061#,132#,2529#,81#,8426#,80#,*,,5383#,81#,*,,125,1.358695652,10,-1,-1.111111111,,8167#,33
0,218,Tl,81,7303#,500#,*,,*,,10494#,401#,*,,3379#,500#,137,1.691358025,-1,11,-1.1,,3021#,56
,218,Pb,82,8023#,361#,19869#,500#,1434#,500#,7273#,300#,*,,-1172#,300#,136,1.658536585,0,10,0,+,4702#,54
,218,Bi,83,8800.5857,29.2347,16232#,301#,4327#,197#,5115.82,29.3606,-12733#,401#,-738.7322,27.7947,135,1.626506024,1,9,0.9,,3585.2425,52
,218,Po,84,9568.3203,1.9556,13731#,200#,6114.7544,0.0917,3139.2382,2.9209,-11193#,300#,-4109.2646,5.1835,134,1.595238095,2,8,1.6,+,5598.1188,50
,218,At,85,10299.096,11.9681,12351.7117,16.0397,6876.0822,2.5858,1040.7782,12.1457,-7918.7155,21.1083,-3629.666,12.1395,133,1.564705882,3,7,2.1,,4365.698,48
,218,Rn,86,11178.5351,6.0131,11142.8645,2.7413,7262.4699,1.8507,-1428.1429,9.9524,-7955.01,6.903,-7168.5675,6.667,132,1.534883721,4,6,2.4,+,6512.4708,46
,218,Fr,87,12054.2181,5.6246,9775.1801,5.3639,8013.6758,1.4407,-3791.4049,57.7493,-4624.1291,6.463,-6901.4137,8.0626,131,1.505747126,5,5,2.5,,5326.5408,44
,218,Ra,88,12788.546,12.5606,8185.6982,11.262,8540.3045,3.4317,-5721.1905,14.3661,-4301.9809,10.5515,-10128.0828,14.8695,130,1.477272727,6,4,2.4,+,7315.2974,42
,218,Ac,89,13441.5274,58.3502,6698.1192,57.7448,9384.2563,56.9829,-7798.723,60.3151,-752.7889,57.9629,-9426.2531,58.5846,129,1.449438202,7,3,2.1,,5922.7941,40
,218,Th,90,14074.4262,15.2833,5502.6614,13.2021,9849.0906,9.1118,-9527.908,17.2753,-811.7599,12.6438,-12759.3193,16.3326,128,1.422222222,8,2,1.6,+,7910.3513,38
,218,Pa,91,15316.8666,30.4293,4078.1104,20.0849,9791.3805,11.6121,*,,2658.2759,21.0798,-12392#,82#,127,1.395604396,9,1,0.9,,6476.4981,36
,218,U,92,17314.4105,31.2366,2981.8241,17.6086,8774.8074,8.6266,*,,2399.9038,17.3394,*,,126,1.369565217,10,0,0,+,9147#,34
0,219,Pb,82,7783#,500#,*,,1085#,565#,7938#,400#,*,,-668#,401#,137,1.670731707,0,11,0,,3081#,55
,219,Bi,83,8553#,201#,16918#,447#,3865#,361#,5924#,200#,-14679#,447#,-108#,200#,136,1.638554217,1,10,0.909090909,,4968#,53
,219,Po,84,9344.7279,17.1343,14157#,300#,5914.1999,50.2494,3852.0233,15.974,-10237#,300#,-3490.1757,19.5726,135,1.607142857,2,9,1.636363636,,3746.6091,51
,219,At,85,10141.2131,5.6528,12911.8836,17.9919,6341.8333,4.8314,1779.0822,7.4018,-10108.9882,27.2065,-2892.7103,3.9123,134,1.576470588,3,8,2.181818182,,5775.5152,49
,219,Rn,86,10971.8649,4.6049,11632.0572,6.7037,6946.1921,0.3055,-564.5153,7.093,-6816.2853,2.4313,-6301.4208,4.6672,133,1.546511628,4,7,2.545454545,,4459.3941,47
,219,Fr,87,11840.36,9.3905,10355.6013,8.3616,7448.6065,1.8222,-2952.6143,51.9178,-6772.2504,13.3407,-6099.9355,11.905,132,1.517241379,5,6,2.727272727,,6513.8192,45
,219,Ra,88,12638.3192,9.6681,8842.6556,7.8482,8137.9268,3.0559,-5068.9273,56.8465,-3112.5318,7.0223,-9528.3104,57.9952,131,1.488636364,6,5,2.727272727,,5323.0217,43
,219,Ac,89,13275.404,52.677,7323.0518,51.8544,8826.4999,50.9902,-7013.6702,86.6517,-2778.8579,51.6156,-8868.5117,52.5371,130,1.460674157,7,4,2.545454545,,7352.6098,41
,219,Th,90,13885.6362,57.4474,6004.6979,56.8748,9505.8694,55.9984,-8833.1732,58.0137,528.2526,57.2823,-12258.1061,59.2112,129,1.433333333,8,3,2.181818182,,5975.285,39
,219,Pa,91,14614.1608,70.8093,4697.0398,70.602,10127.7574,68.5918,-10853.7275,115.3992,443.4073,90.4335,-11382.7496,71.0403,128,1.406593407,9,2,1.636363636,,8137.6627,37
,219,U,92,15817#,82#,3487.769,17.046,9949.6039,11.7381,*,,3640.2353,16.9852,*,,127,1.380434783,10,1,0.909090909,,6670.0197,35
,219,Np,93,*,,2195.7394,92.8141,9207.4978,40.7456,*,,3498.4117,93.6841,*,,126,1.35483871,11,0,0,,*,33
0,220,Pb,82,7642#,500#,*,,785#,565#,8867#,400#,*,,-261#,447#,138,1.682926829,0,12,0,+,4561#,56
,220,Bi,83,8399#,301#,17329#,500#,3664#,424#,6584#,300#,*,,207#,300#,137,1.65060241,1,11,0.916666667,,3432#,54
,220,Po,84,9235.8255,17.8074,14944#,300#,5329#,201#,4651.4689,17.7911,-12645#,400#,-3203.8769,17.9919,136,1.619047619,2,10,1.666666667,+,5489.2164,52
,220,At,85,9867.106,18.0985,13418.232,30.413,6076.8447,17.8934,2893.4166,14.5415,-9233#,201#,-2524.907,14.1293,135,1.588235294,3,9,2.25,,4091.5908,50
,220,Rn,86,10748.0561,2.7408,12322.6003,1.9538,6404.7417,0.1018,339.9023,7.7427,-9358.3383,15.9389,-6076.2636,6.991,134,1.558139535,4,8,2.666666667,+,6288.662,48
,220,Fr,87,11719.7444,5.6763,11195.8286,12.1113,6800.7379,1.857,-2261.4233,7.2009,-6202.6604,5.0564,-5982.8389,7.7906,133,1.528735632,5,7,2.916666667,,5205.9252,46
,220,Ra,88,12516.1013,12.2981,9523.2644,7.7825,7593.8629,4.9407,-4417.4465,15.5736,-5846.2173,7.846,-9368.7801,52.0099,132,1.5,6,6,3,+,7193.0796,44
,220,Ac,89,13249.726,57.919,7893.6271,7.196,8347.8172,4.4884,-6534.642,15.883,-2162.1549,9.1158,-8790.3429,56.7644,131,1.471910112,7,5,2.916666667,,5897.1161,42
,220,Th,90,13819.8454,17.2497,6533.9608,16.7637,8973.1556,11.102,-8324#,102#,-1993.2861,15.2079,-11965.0038,71.0347,130,1.444444444,8,4,2.666666667,+,7844.5604,40
,220,Pa,91,14513.807,23.0864,5150.39,59.4503,9703.745,11.3834,-10196.625,34.0348,1419.8728,53.5222,-11088.8742,19.8161,129,1.417582418,9,3,2.25,,6376.1443,38
,220,U,92,15024#,102#,3931#,101#,10290#,100#,*,,1262#,115#,-14495#,136#,128,1.391304348,10,2,1.666666667,+,8354#,36
,220,Np,93,*,,2752.488,35.5257,10226.3078,18.334,*,,4602.8277,76.1731,*,,127,1.365591398,11,1,0.916666667,,7033.2467,34
0,221,Bi,83,8262#,361#,*,,3116#,500#,7417#,300#,*,,865#,300#,138,1.662650602,1,12,0.923076923,,4831#,55
,221,Po,84,9050.24,25.1676,15424#,400#,5089#,301#,5302.4026,20.3789,-11646#,400#,-2673.3097,24.039,137,1.630952381,2,11,1.692307692,,3561.0236,53
,221,At,85,9755.9281,14.3424,14115#,201#,5627.8506,22.5491,3505.4782,14.8021,-11466#,300#,-1900.5823,14.0896,136,1.6,3,10,2.307692308,,5664.3373,51
,221,Rn,86,10500.6193,5.8965,12787.9486,16.8349,6162.9859,3.1893,1507.4773,7.3054,-8081.0792,18.598,-5082.2957,6.908,135,1.569767442,4,9,2.769230769,,4211.9573,49
,221,Fr,87,11482.3241,8.2926,11696.7123,5.5463,6457.737,1.4043,-1253.7974,57.1008,-8387.4685,14.8021,-5066.1583,8.9809,134,1.540229885,5,8,3.076923077,,6276.3989,47
,221,Ra,88,12572.612,8.0875,10443.4026,5.0019,6880.3948,1.9528,-3976.0488,9.1042,-4937.0876,4.8594,-8851.1963,7.4535,133,1.511363636,6,7,3.230769231,,5379.5324,45
,221,Ac,89,13181.141,76.7071,8663.8327,57.3,7791.4696,56.5253,-5843.8885,82.2356,-4240.2545,57.0267,-8229.8074,58.5032,132,1.483146067,7,6,3.230769231,,7284.0249,43
,221,Th,90,13665.4904,57,7031.8692,10.3791,8625.474,3.7755,-7580.0702,72.5758,-621.1366,10.9078,-11409.7895,16.6918,131,1.455555556,8,5,3.076923077,,5820.93,41
,221,Pa,91,14350.9226,91.5677,5772.5585,78.5803,9247.6999,58.3095,-9535#,209#,-657.7893,59.6867,-10710#,117#,130,1.428571429,9,4,2.769230769,,7974.7783,39
,221,U,92,14918.5935,73.3579,4520.7262,91.6025,9889.2999,71.3499,-11410#,308#,2541.4872,73.4212,-14026.3444,78.4032,129,1.402173913,10,3,2.307692308,,6565#,37
,221,Np,93,15669#,220#,3251#,212#,10431#,201#,*,,2343#,201#,*,,128,1.376344086,11,2,1.692307692,,8636#,35
,221,Pu,94,*,,1944#,300#,10534#,311#,*,,5627#,316#,*,,127,1.35106383,12,1,0.923076923,,*,33
0,222,Bi,83,8152#,424#,*,,2815#,500#,7997#,300#,*,,1105#,301#,139,1.674698795,1,13,0.928571429,,3322#,56
,222,Po,84,8919.8309,43.7901,16222#,402#,4432#,303#,6114.3107,40.1014,*,,-2367.7797,42.4214,138,1.642857143,2,12,1.714285714,+,5358.8072,54
,222,At,85,9565.3563,21.1184,14584#,300#,5312.0741,31.3126,4574.9252,17.5012,-10536#,300#,-1589.644,16.8349,137,1.611764706,3,11,2.357142857,,3901.019,52
,222,Rn,86,10382.6727,1.9299,13469.4475,17.8048,5590.3894,0.3055,2051.7519,4.7093,-10690.7709,19.6577,-4976.6121,5.061,136,1.581395349,4,10,2.857142857,+,6170.7153,50
,222,Fr,87,11246.8649,8.471,12575.5875,15.8354,5852.9689,13.7061,-243.6942,8.8098,-7693.5972,15.8354,-4657.0919,8.7732,135,1.551724138,5,9,3.214285714,,4970.466,48
,222,Ra,88,12094.5223,8.6998,10869.7305,4.6071,6677.8757,4.2266,-2882.8337,11.0616,-7440.1202,7.1651,-8282.1614,57.0529,134,1.522727273,6,8,3.428571429,+,6714.9899,46
,222,Ac,89,13264.594,7.4787,9438.4767,6.0306,7137.4413,2.0368,-5442.5635,86.7187,-3944.4248,6.6953,-8389.4465,9.1328,133,1.494382022,7,7,3.5,,5980.5691,44
,222,Th,90,13629.135,17.0061,7646.9945,12.6264,8132.5665,2.8606,-7069.795,52.9844,-3049.8092,11.1054,-11243.2162,60.2435,132,1.466666667,8,6,3.428571429,+,7808.205,42
,222,Pa,91,14356.6724,87.837,6257.3365,86.8079,8788.5999,64.6607,-9210.2801,94.5956,244.3414,103.6137,-10526.9531,112.7119,131,1.43956044,9,5,3.214285714,,6381.8941,40
,222,U,92,14883#,113#,4994.646,53.7617,9481.171,50.9193,-10787#,304#,43.937,52.6013,-13709#,207#,130,1.413043478,10,4,2.857142857,+,8318.4802,38
,222,Np,93,15343.0173,48.9029,3581.6983,40.7725,10200.157,33.6067,*,,3610.733,70.525,-12726#,302#,129,1.387096774,11,3,2.357142857,,6707#,36
,222,Pu,94,*,,2532#,316#,10740#,300#,*,,3251#,308#,*,,128,1.361702128,12,2,1.714285714,+,8941#,34
0,223,Bi,83,8103#,500#,*,,*,,8812#,400#,*,,1682#,402#,140,1.686746988,1,14,0.933333333,,4781#,57
,223,Po,84,8838#,197#,*,,4034#,445#,6689#,196#,*,,-1946#,196#,139,1.654761905,2,13,1.733333333,,3479#,55
,223,At,85,9497.3572,19.76,15350#,300#,4683#,201#,5045.6788,14.1052,-12811#,300#,-1015.2669,14.107,138,1.623529412,3,12,2.4,,5596.3382,53
,223,Rn,86,10224.252,9.6869,13961.9605,21.0673,5283.4618,17.6619,3156.4935,8.0964,-9385.5003,40.8109,-4059.6828,10.8035,137,1.593023256,4,11,2.933333333,,4053.5366,51
,223,Fr,87,11037.5578,4.8304,12978.342,14.1052,5561.3922,2.8173,557.2745,6.9628,-9859.6701,15.9527,-4009.1938,4.7255,136,1.563218391,5,10,3.333333333,,6067.0918,49
,223,Ra,88,11873.2681,4.9978,11816.0514,5.8928,5978.9916,0.2121,-2152.1569,8.1815,-6427.6831,2.4034,-7459.8704,5.0882,135,1.534090909,6,9,3.6,,5158.2782,47
,223,Ac,89,12848.6297,57.3087,10030.1384,8.3527,6783.1999,1,-4512.5595,75.9385,-5842.0193,10.1877,-7449.3021,12.2847,134,1.505617978,7,8,3.733333333,,6868.0606,45
,223,Th,90,13697.1599,11.1531,8156.4172,9.0595,7566.6333,4.0825,-6659.8762,59.5639,-2223.7743,9.0056,-10750.277,86.9546,133,1.477777778,8,7,3.733333333,,5888.955,43
,223,Pa,91,14179.9587,96.1513,6771.3762,94.6265,8343.1452,55.4094,-8320.9684,112.1884,-1573.1541,75.753,-10006.5375,91.7775,132,1.450549451,9,6,3.6,,7798.0646,41
,223,U,92,14617.354,93.2239,5472.5898,59.5707,9157.5821,17.3111,-10075#,306#,1553.2682,59.9093,-13300.681,70.25,131,1.423913043,10,5,3.333333333,,6298.8738,39
,223,Np,93,15394#,217#,4294.2964,101.9419,9650.4434,44.8053,-12041#,311#,1305.2508,119.8613,-12472#,311#,130,1.397849462,11,4,2.933333333,,8687.3764,37
,223,Pu,94,15952#,424#,2977#,308#,10400#,300#,*,,4559#,304#,*,,129,1.372340426,12,3,2.4,,7010#,35
,223,Am,95,*,,1789#,361#,10838#,314#,*,,4136#,302#,*,,128,1.347368421,13,2,1.733333333,,*,33
0,224,Bi,83,8023#,500#,*,,*,,9359#,400#,*,,1920#,445#,141,1.698795181,1,15,0.9375,,3242#,58
,224,Po,84,8719#,200#,*,,3355#,445#,7465#,196#,*,,-1589#,196#,140,1.666666667,2,14,1.75,+,5240#,56
,224,At,85,9384.6464,27.3961,15817#,301#,4327#,301#,5962.4037,24.9946,-11818#,400#,-750.0384,23.6848,139,1.635294118,3,13,2.4375,,3788.3082,54
,224,Rn,86,10069.4947,10.0049,14619.1114,41.2391,4756.7202,20.2374,3619.2659,9.98,-11922#,196#,-4008.549,10.0025,138,1.604651163,4,12,3,+,6015.9581,52
,224,Fr,87,10772.1248,13.4342,13782.3561,19.3831,4947.95,17.8934,1514.4667,11.9022,-8968.3648,17.8934,-3555.9486,11.3716,137,1.574712644,5,11,3.4375,,4705.033,50
,224,Ra,88,11637.0088,4.6061,12124.0666,1.9258,5788.9231,0.1526,-1169.748,9.7213,-8852.877,8.029,-7070.5404,7.0615,136,1.545454545,6,10,3.75,+,6478.7305,48
,224,Ac,89,12530.2858,6.0711,10721.8975,8.4999,6326.8999,0.7,-3628.2033,8.5055,-5437.1527,4.3698,-7222.5723,8.8233,135,1.516853933,7,9,3.9375,,5662.2252,46
,224,Th,90,13350.0944,13.9279,8902.5667,10.4998,7298.5734,5.8787,-5747.1098,17.9632,-4526.6355,9.8019,-10413.3519,76.222,134,1.488888889,8,8,4,+,7461.1394,44
,224,Pa,91,14344.646,86.923,7337.3884,8.7138,7693.6799,4.4721,-8169.8965,29.9029,-1251.6749,10.2028,-10254.2451,59.5136,133,1.461538462,9,7,3.9375,,6546.5814,42
,224,U,92,14672.7796,54.184,6038.2906,18.2971,8628.2368,6.7512,-9538#,300#,-931.6826,17.1326,-12987.2104,84.2557,132,1.434782609,10,6,3.75,+,8373.9058,40
,224,Np,93,15385.0296,47.7944,4610.0555,91.3085,9328.9344,29.6829,-11228#,401#,2405.6621,80.9737,-12160#,301#,131,1.408602151,11,5,3.4375,,6697.6533,38
,224,Pu,94,15922#,424#,3570#,304#,9842#,316#,*,,1946#,306#,-15491#,424#,130,1.382978723,12,4,3,+,8912#,36
,224,Am,95,*,,2592#,401#,10361#,401#,*,,5313#,408#,*,,129,1.357894737,13,3,2.4375,,7511#,34
0,225,Po,84,8641#,358#,*,,*,,8046#,300#,*,,-1202#,301#,141,1.678571429,2,15,1.764705882,,3402#,57
,225,At,85,9271#,300#,16518#,500#,3675#,424#,6479#,300#,-14059#,500#,-217#,300#,140,1.647058824,3,14,2.470588235,,5483#,55
,225,Rn,86,9998.2314,13.6115,15122#,196#,4335.4705,22.5108,4541.0996,11.438,-10665#,196#,-3285.7893,15.7809,139,1.61627907,4,13,3.058823529,,3982.2733,53
,225,Fr,87,10704.3635,12.1066,14185.3484,18.3966,4612.9568,18.3966,2183.297,12.8514,-11179.3872,25.3573,-3076.5486,12.0886,138,1.586206897,5,12,3.529411765,,5999.3305,51
,225,Ra,88,11382.8376,2.9683,12974.637,8.2414,5096.7734,5.0907,-317.1492,5.6527,-7741.0259,10.1518,-6312.4222,4.7218,137,1.556818182,6,11,3.882352941,,4904.107,49
,225,Ac,89,12330.386,8.2776,11322.9665,4.6932,5935.138,1.4294,-2719.3351,81.9981,-7400.2805,12.1484,-6429.5936,10.6775,136,1.528089888,7,10,4.117647059,,6668.1608,47
,225,Th,90,13217.8453,9.3046,9500.9943,5.4293,6921.3999,2.1213,-5061.8083,11.0526,-3804.6108,5.3017,-9623.4763,8.9473,135,1.5,8,9,4.235294118,,5756.7058,45
,225,Pa,91,14123.6104,111.4386,8046.3569,82.1503,7400.6757,58.859,-7261.4579,122.8614,-3166.4787,81.9568,-9457.3684,83.2622,134,1.472527473,9,8,4.235294118,,7577.0291,43
,225,U,92,14815.9132,59.8619,6591.343,12.6161,8007.1594,5.8969,-8928#,300#,87.4494,13.7227,-12731.5646,30.5827,133,1.445652174,10,7,4.117647059,,6442.0074,41
,225,Np,93,15183.121,123.5314,5297.4586,118.7978,8818.2451,69.77,-10772#,410#,466.7758,91.9259,-11734#,314#,132,1.419354839,11,6,3.882352941,,8485.4677,39
,225,Pu,94,15963#,424#,4323#,306#,9355#,308#,*,,3269#,300#,-15031#,500#,131,1.393617021,12,5,3.529411765,,7051#,37
,225,Am,95,16452#,500#,2846#,408#,10055#,447#,*,,3069#,401#,*,,130,1.368421053,13,4,3.058823529,,8941#,35
0,226,Po,84,8504#,446#,*,,*,,8801#,401#,*,,-822#,500#,142,1.69047619,2,16,1.777777778,+,5103#,58
,226,At,85,9194#,301#,16988#,500#,3285#,424#,7139#,300#,*,,55#,300#,141,1.658823529,3,15,2.5,,3711#,56
,226,Rn,86,9840.5409,14.3558,15741#,196#,3836.0102,41.4018,5079.618,10.6528,-13122#,300#,-3144.7263,15.9052,140,1.627906977,4,14,3.111111111,+,5858.2675,54
,226,Fr,87,10370.7111,12.797,14768.4207,23.2078,4142.5952,17.0169,3211.3386,6.9588,-10068#,300#,-2543.8221,6.7494,139,1.597701149,5,13,3.611111111,,4371.3805,52
,226,Ra,88,11300.8929,1.909,13355.4648,10.0017,4870.7028,0.2545,469.9265,4.7252,-10155.5385,11.305,-6041.0473,4.928,138,1.568181818,6,12,4,+,6396.7859,50
,226,Ac,89,12067.5829,4.9569,12017.3556,11.5998,5506.1819,8.071,-1724.3987,11.5921,-6800.3721,12.3482,-6072.3099,5.8762,137,1.539325843,7,11,4.277777778,,5399.4221,48
,226,Th,90,12940.5675,10.5126,10206.1254,4.6292,6452.5282,1.0117,-4131.1483,11.8671,-6084.3654,5.0638,-9230.3089,81.9738,136,1.511111111,8,10,4.444444444,+,7183.8616,46
,226,Pa,91,13971.3875,13.4005,8778.4902,11.8533,6986.8864,10.1805,-6783.277,102.6642,-2892.6764,12.1358,-9409.7194,14.8938,135,1.483516484,9,9,4.5,,6394.3584,44
,226,U,92,14556.529,18.7879,7244.7252,14.5666,7700.8428,4.2662,-8301#,201#,-2270.3663,12.0843,-12360.6185,92.2786,134,1.456521739,10,8,4.444444444,+,8114.5216,42
,226,Np,93,15358.007,106.0821,5623.4165,102.3317,8327.5999,54.0015,-10153#,317#,1171.2656,130.8294,-11555#,317#,133,1.430107527,11,7,4.277777778,,6872.5393,40
,226,Pu,94,15793#,361#,4691#,201#,8932#,207#,*,,969#,201#,-14832#,447#,132,1.404255319,12,6,4,+,8742#,38
,226,Am,95,16433#,500#,3640#,301#,9270#,302#,*,,4063#,314#,*,,131,1.378947368,13,5,3.611111111,,7492#,36
0,227,Po,84,8442#,500#,*,,*,,9395#,401#,*,,-451#,500#,143,1.702380952,2,17,1.789473684,,3339#,59
,227,At,85,9012#,424#,*,,2765#,500#,7748#,300#,*,,612#,300#,142,1.670588235,3,16,2.526315789,,5301#,57
,227,Rn,86,9790.9447,17.9622,16272#,300#,3382#,196#,5708.3708,14.2245,-11952#,401#,-2706.023,15.4067,141,1.639534884,4,15,3.157894737,,3932.6771,55
,227,Fr,87,10280.7929,13.3416,15195#,300#,3829.5211,15.1664,3832.9302,6.2051,-12266#,300#,-2056.4486,6.2053,140,1.609195402,5,14,3.684210526,,5909.4124,53
,227,Ra,88,10958.2159,2.8639,13934.6215,11.3082,4362.8095,8.0604,1372.7048,2.4032,-8858.7009,10.6562,-5203.0552,3.2841,139,1.579545455,6,13,4.105263158,,4561.43,51
,227,Ac,89,11930.4262,4.6912,12549.0292,12.1059,5042.2697,0.1425,-980.8557,7.2775,-8959.9956,6.5213,-5419.4524,4.7467,138,1.550561798,7,12,4.421052632,,6531.0041,49
,227,Th,90,12648.0699,5.4285,10766.2267,2.9667,6146.5981,0.1,-3240.2746,8.7323,-5151.7878,2.388,-8300.1587,11.3809,137,1.522222222,8,11,4.631578947,,5464.2083,47
,227,Pa,91,13668.9055,82.1777,9384.8764,8.5451,6580.3999,2.1213,-5748.6477,77.3202,-4767.8013,7.8076,-8569.7449,13.1763,136,1.494505495,9,10,4.736842105,,7274.5471,45
,227,U,92,14469.6036,12.9804,7843.1013,9.7929,7234.7157,3.0539,-7725#,100#,-1441.5867,9.5235,-11843.1612,102.4041,135,1.467391304,10,9,4.736842105,,6355.082,43
,227,Np,93,15181.7157,119.6669,6355.5639,112.3646,7816.4881,14.3963,-9601#,215#,-743.5524,77.778,-11122#,215#,134,1.440860215,11,8,4.631578947,,8309.1764,41
,227,Pu,94,15673#,316#,5180#,100#,8300#,116#,*,,2152#,100#,-14271#,316#,133,1.414893617,12,7,4.421052632,,6931#,39
,227,Am,95,16353#,447#,4016#,220#,9096#,217#,*,,2074#,225#,*,,132,1.389473684,13,6,4.105263158,,8861#,37
0,228,At,85,8923#,500#,*,,2385#,565#,8496#,400#,*,,923#,400#,143,1.682352941,3,17,2.55,,3622#,58
,228,Rn,86,9646.3634,20.5489,16883#,401#,2908#,196#,6303.2721,17.7895,-14326#,401#,-2510.2969,18.6354,142,1.651162791,4,16,3.2,+,5713.6863,56
,228,Fr,87,10278.9544,9.1723,15854#,300#,3248.2873,23.3474,4489.5673,7.0496,-11335#,300#,-1864.5606,7.0073,141,1.620689655,5,15,3.75,,4369.542,54
,228,Ra,88,10870.0176,2.319,14384.9416,10.6653,4070.1799,10.015,2169.2947,2.5674,-11234.6114,14.2313,-4980.6388,2.3398,140,1.590909091,6,14,4.2,+,6308.5876,52
,228,Ac,89,11557.1831,3.4488,13203.8276,6.5725,4721.1237,11.3723,-28.9448,4.7801,-8076.7622,6.2589,-4981.4231,2.5566,139,1.561797753,7,13,4.55,,5026.179,50
