1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,21,N,7,6766.9758,135.0479,49116.2773,542.1944,-20909.3222,244.1867,25279.5206,134.06,-51458.6243,562.5609,13364.4256,134.0508,14,2,-1,6,-1.2,,4605.9005,7
,21,O,8,11413.4601,12.2863,38929.6628,99.1186,-15394.7616,21.1078,13793.8102,12.0001,-36730.504,230.9367,8.179,12,13,1.625,0,5,0,,3805.456,5
,21,F,9,14702.7962,1.8,30481.8024,16.5022,-10342.5998,15.1076,2137.2521,1.8005,-29103.0741,78.9146,-1076.9911,1.8,12,1.333333333,1,4,0.8,,8101.4601,3
,21,Ne,10,23626.466,0.1646,23642.5763,2.6372,-7347.928,0.0385,-16635.627,0.7555,-16816.9192,0.8858,-20653.583,1.1096,11,1.1,2,3,1.2,,6761.1623,1
,21,Na,11,31256.878,10.5352,15275.3544,0.0424,-6561.4745,0.2515,-29275#,600#,-9456.3652,0.0517,-27733.8694,1.8635,10,0.909090909,3,2,1.2,,17106.6639,-1
,21,Mg,12,37077.1795,60.0058,5426.145,0.7713,-8021.5172,0.8335,*,,10656.8117,0.7545,*,,9,0.75,4,1,0.8,,14645.1614,-3
,21,Al,13,*,,418#,600#,-10055#,603#,*,,12950#,600#,*,,8,0.615384615,5,0,0,,*,-5
0,22,C,6,34.9999,20,*,,*,,44328.1708,238.3858,*,,20307.9695,267.5007,16,2.666666667,-2,-4,-1.333333333,+,103#,10
,22,N,7,6144.3294,222.2533,52214.7062,584.5324,-22452.7511,291.2997,28971.4287,208.1489,-53907.0533,596.0522,15631.4527,208.1255,15,2.142857143,-1,-5,-0.833333333,,1538.4289,8
,22,O,8,10655.7758,56.9279,42798.4768,237.5453,-18061.1494,64.3428,17307.7478,56.921,-43649#,599#,1259.3192,56.9495,14,1.75,0,6,0,+,6850.3198,6
,22,F,9,13331.797,12.399,33551.0641,79.8625,-12744.7075,22.3285,7974.7673,12.3997,-29727.5106,134.6201,453.8342,12.3991,13,1.444444444,1,5,0.833333333,,5230.337,4
,22,Ne,10,17125.4197,0.0178,26398.8296,0.8851,-9666.8153,0.0177,-7624.7294,0.16,-23375.7206,12,-13911.1765,0.0459,12,1.2,2,4,1.333333333,+,10364.2574,2
,22,Na,11,28174.5161,1.1168,19741.8704,0.1351,-8479.4198,0.4817,-23383#,401#,-12422.7573,1.8048,-24156.5602,0.7659,11,1,3,3,1.5,,11067.8522,0
,22,Mg,12,34020.3164,1.8698,7935.9963,0.1593,-8142.5196,0.3967,-34040#,500#,-1957.181,0.1638,-35561#,600#,10,0.833333333,4,2,1.333333333,+,19375.1551,-2
,22,Al,13,*,,3227#,401#,-9262#,411#,*,,13097#,401#,*,,9,0.692307692,5,1,0.833333333,,16960#,-4
